ion_mass;ion_formula;formula;mass_monoiso;name_iupac;pubchem_cid;CAS_number
74,0362295;[C3H5O2+H]+;C3H5O2;73,0289544;propanoate;104745;72-03-7
74,0600395;[C3H7NO+H]+;C3H7NO;73,05276385;N,N-dimethylformamide;6228;68-12-2
74,0600395;[C3H7NO+H]+;C3H7NO;73,05276385;propanamide;6578;79-05-0
74,0964255;[C4H11N+H]+;C4H11N;73,08914936;N-methylpropan-2-amine;78485;4747-21-1
74,0964255;[C4H11N+H]+;C4H11N;73,089149;N,N-dimethylethylamine;NA;598-56-1
74,0964255;[C4H11N+H]+;C4H11N;73,089149;2-propanamine, 2-methyl- / tert-butylamine;NA;75-64-9
75,0262975;[C3H6S+H]+;C3H6S;74,01902136;2-methylthiirane;14072;1072-43-1
75,0262975;[C3H6S+H]+;C3H6S;74,019021;allyl mercaptan;NA;870-23-5
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;methyl acetate;6584;79-20-9
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;1,3-dioxolane;12586;646-06-0
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;1-hydroxypropan-2-one;8299;116-09-6
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;ethyl formate;8025;109-94-4
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;2-methoxyacetaldehyde;91563;10312-83-1
75,0440545;[C3H6O2+H]+;C3H6O2;74,03677943;propionic acid;1032;79-09-4
75,0804405;[C4H10O+H]+;C4H10O;74,07316494;butan-1-ol;263;71-36-3
75,0804405;[C4H10O+H]+;C4H10O;74,07316494;butan-2-ol;6568;78-92-2
75,0804405;[C4H10O+H]+;C4H10O;74,07316494;ethoxyethane;3283;60-29-7
75,0804405;[C4H10O+H]+;C4H10O;74,07316494;2-methylpropan-2-ol;6386;75-65-0
75,0804405;[C4H10O+H]+;C4H10O;74,07316494;2-methylpropan-1-ol;6560;78-83-1
75,0804405;[C4H10O+H]+;C4H10O;74,073165;1,3-butanediol;NA;107-88-0
76,0215465;[C2H5NS+H]+;C2H5NS;75,01427;ethanethioamide;NA;62-55-5
76,0393035;[C2H5NO2+H]+;C2H5NO2;75,032029;glycine;NA;56-40-6
76,0393035;[C2H5NO2+H]+;C2H5NO2;75,032029;N-hydroxyacetamide / Acetohydroxamic acid;NA;546-88-3
76,0627085;[C2H9BS+H]+;C2H9BS;NA;borane-methyl sulfide complex;NA;13292-87-0
76,0756895;[C3H9NO+H]+;C3H9NO;75,06841391;N,N-dimethylmethanamine oxide;1145;1184-78-7
76,9514185;[CS2+H]+;CS2;75,94414235;NA;6348;75-15-0
77,0419475;[C3H8S+H]+;C3H8S;76,03467143;propane-2-thiol;6364;75-33-2
77,0419475;[C3H8S+H]+;C3H8S;76,034671;ethylmethylsulfide;NA;624-89-5
77,0419475;[C3H8S+H]+;C3H8S;76,034671;1-propanethiol;NA;107-03-9
77,0597045;[C3H8O2+H]+;C3H8O2;76,05242949;dimethoxymethane;8020;109-87-5
77,0597045;[C3H8O2+H]+;C3H8O2;76,05242949;2-methoxyethanol;8019;109-86-4
77,0597045;[C3H8O2+H]+;C3H8O2;76,05242949;propane-1,2-diol;1030;57-55-6
78,0371965;[C2H7NS+H]+;C2H7NS;77,02992;cysteamine;NA;60-23-1
79,0212115;[C2H6OS+H]+;C2H6OS;78,01393598;methylsulfinylmethane;679;67-68-5
79,0542265;[C6H6+H]+;C6H6;78,04695019;benzene;241;71-43-2
79,0542265;[C6H6+H]+;C6H6;78,04695;1,3-hexadien-5-yne;NA;10420-90-3
80,0494755;[C5H5N+H]+;C5H5N;79,04219916;pyridine;1049;110-86-1
81,0447245;[C4H4N2+H]+;C4H4N2;80,03744814;pyrimidine;9260;289-95-2
81,0447245;[C4H4N2+H]+;C4H4N2;80,037448;pyrazine;NA;290-37-9
81,0698765;[C6H8+H]+;C6H8;80,06260026;cyclohexa-1,3-diene;11605;592-57-4
81,0698765;[C6H8+H]+;C6H8;80,06260026;cyclohexa-1,4-diene;12343;628-41-1
81,0698765;[C6H8+H]+;C6H8;80,06260026;(3Z)-hexa-1,3,5-triene;5367415;2612-46-6
81,0698765;[C6H8+H]+;C6H8;80,06260026;5-methylcyclopenta-1,3-diene;25512;96-38-8
81,0698765;[C6H8+H]+;C6H8;80,06260026;1-methylcyclopenta-1,3-diene;66775;96-39-9
81,0698765;[C6H8+H]+;C6H8;80,06260026;4-methylenecyclopentene;556370;14548-32-4
81,0698765;[C6H8+H]+;C6H8;80,06260026;3-methylenecyclopentene;136723;930-26-7
81,0698765;[C6H8+H]+;C6H8;80,06260026;(Z)-3-methylpent-3-en-1-yne;5367413;14272-81-2
81,0698765;[C6H8+H]+;C6H8;80,0626;3-methyl-3-penten-1-yne;NA;1574-33-0
82,0651255;[C5H7N+H]+;C5H7N;81,05784923;3-methylbut-3-enenitrile;20912;4786-19-0
82,0651255;[C5H7N+H]+;C5H7N;81,05784923;2-methylbut-3-enenitrile;27909;16529-56-9
82,0651255;[C5H7N+H]+;C5H7N;81,05784923;2-methyl-1H-pyrrole;12489;636-41-9
82,0651255;[C5H7N+H]+;C5H7N;81,05784923;3-methyl-1H-pyrrole;12023;616-43-3
82,0651255;[C5H7N+H]+;C5H7N;81,05784923;1-methylpyrrole;7304;96-54-8
83,0370515;[CH7ClN2+H]+;CH7ClN2;82,0297759;"methylhydrazine;hydrochloride";81793;7339-53-9
83,0491405;[C5H6O+H]+;C5H6O;82,04186481;cyclopent-2-en-1-one;13588;930-30-3
83,0491405;[C5H6O+H]+;C5H6O;82,04186481;2-methylfuran;10797;534-22-5
83,0491405;[C5H6O+H]+;C5H6O;82,04186481;3-methylfuran;13587;930-27-8
83,0603745;[C4H6N2+H]+;C4H6N2;82,0530982;1-methylimidazole;1390;616-47-7
83,0603745;[C4H6N2+H]+;C4H6N2;82,0530982;5-methyl-1H-pyrazole;15073;1453-58-3
83,0855265;[C6H10+H]+;C6H10;82,07825032;cyclohexene;8079;110-83-8
83,0855265;[C6H10+H]+;C6H10;82,07825032;2,3-dimethylbuta-1,3-diene;10566;513-81-5
83,0855265;[C6H10+H]+;C6H10;82,07825032;3,3-dimethylbut-1-yne;13512;917-92-0
83,0855265;[C6H10+H]+;C6H10;82,07825032;3-methylenepent-1-ene;18850;3404-63-5
83,0855265;[C6H10+H]+;C6H10;82,07825032;(3E)-hexa-1,3-diene;39175;592-48-3
83,0855265;[C6H10+H]+;C6H10;82,07825032;(4E)-hexa-1,4-diene;5365552;7319-00-8
83,0855265;[C6H10+H]+;C6H10;82,07825032;(2E,4E)-hexa-2,4-diene;638071;5194-51-4
83,0855265;[C6H10+H]+;C6H10;82,07825032;1-methylcyclopentene;12746;693-89-0
83,0855265;[C6H10+H]+;C6H10;82,07825032;3-methylcyclopentene;14263;1120-62-3
83,0855265;[C6H10+H]+;C6H10;82,07825032;4-methylcyclopentene;15658;1759-81-5
83,0855265;[C6H10+H]+;C6H10;82,07825032;methylenecyclopentane;73714;1528-30-9
83,0855265;[C6H10+H]+;C6H10;82,07825032;(3E)-2-methylpenta-1,3-diene;638070;926-54-5
83,0855265;[C6H10+H]+;C6H10;82,07825032;(3E)-3-methylpenta-1,3-diene;638069;4549-74-0
83,0855265;[C6H10+H]+;C6H10;82,07825032;3-methylpenta-1,3-diene;20682;NA
83,0855265;[C6H10+H]+;C6H10;82,07825032;3-methylpenta-1,4-diene;66195;1115-08-8
83,0855265;[C6H10+H]+;C6H10;82,07825032;4-methylpenta-1,3-diene;13555;926-56-7
83,0855265;[C6H10+H]+;C6H10;82,07825032;4-methylpent-2-yne;140789;21020-27-9
83,0855265;[C6H10+H]+;C6H10;82,07825032;4-methylpent-1-yne;138948;7154-75-8
83,0855265;[C6H10+H]+;C6H10;82,07825;1,4-hexadiene;NA;592-45-0
83,0855265;[C6H10+H]+;C6H10;82,07825;2,4-hexadiene ui;NA;592-46-1
83,0855265;[C6H10+H]+;C6H10;82,07825;2,4-hexadiene, (E,Z)-;NA;5194-50-3
83,0855265;[C6H10+H]+;C6H10;82,07825;1,4-hexadiene, (Z)-;NA;7318-67-4
83,0855265;[C6H10+H]+;C6H10;82,07825;3-methyl-1,3-pentadiene, (E)-;NA;2787-43-1
83,0855265;[C6H10+H]+;C6H10;82,07825;3-methyl-1,3-pentadiene, (Z)-;NA;2787-45-3
84,0556235;[C3H5N3+H]+;C3H5N3;83,048347;aminopyrazole u.i;NA;na
84,0807755;[C5H9N+H]+;C5H9N;83,07349929;2-methylbutanenitrile;29339;18936-17-9
84,0807755;[C5H9N+H]+;C5H9N;83,07349929;3-methylbutanenitrile;12244;625-28-5
84,9606305;[CH2Cl2+H]+;CH2Cl2;83,9533555;dichloromethane;6344;75-09-2
85,0106475;[C4H4S+H]+;C4H4S;84,0033713;thiophene;8030;110-02-1
85,0284045;[C4H4O2+H]+;C4H4O2;84,02112937;2H-furan-5-one;10341;497-23-4
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;NA;59270504;NA
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;cyclopentanone;8452;120-92-3
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;3,4-dihydro-2H-pyran;8080;110-87-2
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;3-methylbut-2-enal;61020;NA
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;(E)-2-methylbut-2-enal;5321950;497-03-0
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;3-methylbut-3-en-2-one;13143;814-78-8
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;pent-1-en-3-one;15394;1629-58-9
85,0647905;[C5H8O+H]+;C5H8O;84,05751487;(E)-pent-3-en-2-one;637920;625-33-2
85,0647905;[C5H8O+H]+;C5H8O;84,057515;2-ethylacrolein / 2- ethacrolein;NA;922-63-4
85,0647905;[C5H8O+H]+;C5H8O;84,057515;3-methyl-2-butenal;NA;107-86-8
85,0647905;[C5H8O+H]+;C5H8O;84,057515;3-penten-2-one, (E)-;NA;3102-33-8
85,0760245;[C4H8N2+H]+;C4H8N2;84,06874826;2-amino-2-methyl-propanenitrile;88022;19355-69-2
85,0760245;[C4H8N2+H]+;C4H8N2;84,068748;2-;NA;926-64-7
85,1011765;[C6H12+H]+;C6H12;84,09390038;cyclohexane;8078;110-82-7
85,1011765;[C6H12+H]+;C6H12;84,09390038;3,3-dimethylbut-1-ene;11210;558-37-2
85,1011765;[C6H12+H]+;C6H12;84,09390038;2,3-dimethylbut-1-ene;11249;563-78-0
85,1011765;[C6H12+H]+;C6H12;84,09390038;2,3-dimethylbut-2-ene;11250;563-79-1
85,1011765;[C6H12+H]+;C6H12;84,09390038;3-methylenepentane;12970;760-21-4
85,1011765;[C6H12+H]+;C6H12;84,09390038;hex-1-ene;11597;592-41-6
85,1011765;[C6H12+H]+;C6H12;84,09390038;(E)-hex-2-ene;639661;4050-45-7
85,1011765;[C6H12+H]+;C6H12;84,09390038;(Z)-hex-2-ene;643835;7688-21-3
85,1011765;[C6H12+H]+;C6H12;84,09390038;(E)-hex-3-ene;638066;13269-52-8
85,1011765;[C6H12+H]+;C6H12;84,09390038;methylcyclopentane;7296;96-37-7
85,1011765;[C6H12+H]+;C6H12;84,09390038;2-methylpent-1-ene;12986;763-29-1
85,1011765;[C6H12+H]+;C6H12;84,09390038;3-methylpent-1-ene;12969;760-20-3
85,1011765;[C6H12+H]+;C6H12;84,09390038;4-methylpent-1-ene;12724;691-37-2
85,1011765;[C6H12+H]+;C6H12;84,09390038;2-methylpent-2-ene;12243;625-27-4
85,1011765;[C6H12+H]+;C6H12;84,09390038;(E)-3-methylpent-2-ene;642661;616-12-6
85,1011765;[C6H12+H]+;C6H12;84,09390038;(E)-4-methylpent-2-ene;172092;674-76-0
85,1011765;[C6H12+H]+;C6H12;84,09390038;(Z)-4-methylpent-2-ene;5326159;691-38-3
