formula;mass;pubChemId
C8H17Cl;148.674;12347
CH7ClN2;82.531;81793
C9H9N;131.178;7224
C4H11N;73.139;78485
C6H11N;97.161;10956
C7H21NSi2;175.422;70199
C5H12N2;100.165;66057
C6H7N;93.129;7970
C6H7NO;109.128;14504
C4H5NS;99.151;77129
C5H6S;98.163;11126
C4H10S;90.184;19754
C2H6N2S;90.144;2723704
C6H10N2O;126.159;22055
C6H11NO2;129.159;15543
C10H8;128.174;931
CH3NO2;61.04;6375
C18H38;254.502;11635
C8H14O2;142.198;543977
C3H3NO;69.063;9255
C4H7NO;85.106;" with pyrrolidin-2-one (1:3)<br>Pyrrolidone, European Pharmacopoeia (EP) Reference Standard<br>InChI=1C4H7NOc6-4-2-1-3-5-4h1-3H2,(H,5,6<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound12025"
C5H14N2;102.181;273
C6H6O;94.113;20488062
C8H10O2;138.166;31236
C13H20;176.303;14115
C12H14O4;222.24;6781
C3H4;40.065;10037
C3H8;44.097;6334
C3H8O3;92.094;753
C3H4O;56.064;7847
C6H13N;99.177;87587
C3H5NO;71.079;6579
C3H6S;74.141;14072
C9H13NO2;167.208;266585
