formula;mass;pubChemId;nHBDB
H4N;18.039;"s<br>Nitrogen cation<br>Ammonia ion<br>Ammonium(+)<br>nitrogen(1+)<br>Nitrogen tetrahydride<br>Ammonium ion(1+)<br>Ammonium (NH4+)<td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound223";30
C6H12O6;180.156;5793;53
C10H12O3;180.2;22568;965
C10H16OSi;180.32;10969113;923
C9H11NO3;181.191;91482;9
C9H11NO3;181.191;1153;46
C9H11NO3;181.191;1153;47
C9H11NO3;181.191;1153;48
C6H3Cl3;181.44;7950;349
C13H10O;182.22;3102;981
C12H24O;184.32;8194;967
C12H24O;184.32;15595;1032
C13H28;184.36;545954;933
C13H28;184.367;519389;244
C13H28;184.367;519405;489
C13H28;184.367;12388;867
C13H28;184.367;43924;883
C13H28;184.367;545608;884
C13H28;184.367;537327;885
C12H17NO;191.27;67583415;973
C12H16O2;192.25;103653;990
C11H16N2O;192.26;13544681;939
C11H14O3;194.23;90232;977
C12H18O2;194.27;5370158;966
C11H17NO2;195.262;108434;261
C14H15N;197.281;292893;263
C12H22O2;198.3;16821;1001
C13H28O;200.366;8207;352
C8H18N4O2;202.258;169148;12
C8H18N4O2;202.258;123831;68
C8H16N2O4;204.226;123800;11
C11H12N2O2;204.229;1148;44
C11H12N2O2;204.229;1148;45
C13H16O2;204.26;530435;1022
C13H16O2;204.269;251071;229
C14H22O;206.32;79983;974
C14H22O;206.32;8814;989
C14H22O;206.32;7311;1015
C10H12N2O3;208.217;846;36
C16H18;210.31;520958;986
C12H22O3;214.3;91691497;1031
C13H26O2;214.349;12530;351
C12H24O3;216.32;522537;1048
Na;22.99;5360545;84
C12H12O4;220.22;13596727;996
C15H24O;220.35;6429350;1006
C12H14O4;222.24;6781;329
C6H18O3Si3;222.46;10914;1034
C11H7ClO3;222.624;79416;354
C9H10N2O5;226.188;235719;13
C16H34;226.44;22545;1044
C16H34;226.448;11006;274
C15H22O2;234.33;73219;993
C15H24O2;236.35;146102;964
C15H28O2;240.38;75084;987
C16H32O;240.431;984;273
C17H36;240.475;12398;272
C16H34O;242.447;2682;275
C16H34O;242.447;85779;554
ClPb;242.65;112500412;99
C13H24O4;244.33;91713521;985
C14H14O4;246.26;8573;1017
C13H16N2O3;248.28;137353;955
C9H11N5O4;253.218;4455;52
C18H38;254.502;11635;321
C16H32O2;256.43;985;42
C14H15FN2O2;262.28;91704350;961
C15H18O4;262.3;574648;1020
C12H27O4P;266.31;31355;975
C7H4ClIO;266.462;74378;245
C10H13N5O4;267.245;60961;65
C18H21NO;267.4;94695625;1036
C19H40;268.5;545603;936
CHN;27.026;768;278
C17H34O2;270.5;21205;998
C14H30O3S;278.45;6421048;931
CO;28.01;281;383
C2H4;28.054;6325;249
Si;28.085;5461123;86
C16H24O4;280.36;5363907;970
C13H22O3Si2;282.48;622439;938
C17H16O4;284.31;6041429;958
C17H34O3;286.4;85781;995
C16H30O4;286.41;23284;962
CHO;29.018;101954077;98
C18H26O3;290.4;21630;1003
C18H29NO2;291.4;570742;1041
C12H25I;296.23;20282;959
C23H20;296.413;192908;232
C21H44;296.6;29036;960
C21H44;296.6;41209;991
C8H24O4Si4;296.61;11169;928
C14H27NO2Si2;297.54;14345507;1018
C17H30O4;298.4;91702361;1052
NO;30.006;145068;70
CH2O;30.026;712;267
C2H6;30.07;6324;247
C20H28O2;300.442;444795;71
C14H17ClO5;300.73;91726212;982
C21H34O;302.5;585014;1026
C10H16N3O6S;306.313;7048684;90
C10H17N3O6S;307.321;124886;69
CH5N;31.058;6329;290
C12H10N2O8;310.22;558880;984
C20H25NO2;311.4;567717;997
C11H15N5O6;313.27;53394351;25
C18H34O4;314.466;5282961;14
C20H30O3;318.457;10041593;19
CH4O;32.042;887;293
H4N2;32.046;9321;276
C20H32O3;320.473;5312983;17
C20H32O3;320.473;9862886;91
C20H32O3;320.473;9966861;92
C23H48;324.6;520181;1024
C16H10N2O6;326.26;102123396;976
C20H28N2O2;328.4;559665;1050
C22H32O2;328.496;445580;72
