label	mass	lower integration limit	upper integration limit
(C5H9NO3)H+	132.0655212	132.0195618	132.1114807
(C6H13NO2)H+	132.1018982	132.0559387	132.1478577
(C9H8O)H+	133.0647888	133.0185394	133.1110382
(C10H12)H+	133.101181	133.0549164	133.1474457
(C9H10O)H+	135.0804443	135.0335846	135.1273041
(C10H14)H+	135.1168365	135.0699615	135.1637115
(C7H7NO2)+	137.0471344	136.9996796	137.0945892
(C8H8O2)H+	137.0597076	137.0122528	137.1071625
(C8H8O2)H+	137.0597076	137.0122528	137.1071625
(C7H8N2O)H+	137.0709381	137.0234833	137.1183929
(C10H16)H+	137.1324768	137.0850067	137.1799469
menthol/H2OH+	139.148056	139.0999756	139.1961365
(C9H21N)H+	144.1746674	144.1250458	144.2242889
(C9H8N2)H+	145.0760345	145.0261383	145.1259308
ethzlhexanoateH+	145.1223297	145.0724182	145.1722412
(F6S)+	145.9619293	145.9117737	146.012085
C6Cl2H4+	145.9684448	145.9182739	146.0186157
(F6S)H+	146.9697571	146.919281	147.0202332
C6Cl2H5+	146.9762573	146.9257813	147.0267334
(C10H12O)+	148.0882721	148.0374603	148.1390839
(C11H16)+	148.124649	148.073822	148.1754761
(C10H12O)H+	149.0960999	149.0449829	149.1472168
(C9H10O2)H+	151.0753632	151.0236359	151.1270905
(C10H16O)+	152.1195679	152.0675201	152.1716156
(C8H8O3)H+	153.0546265	153.0022888	153.1069641
(C12H8)H+	153.06987	153.0175171	153.1222229
(C10H16O)H+	153.1273956	153.0750275	153.1797638
(C10H19N)+	153.1511993	153.0988312	153.2035675
C6Cl2H5 iso3ppm+	153.9804535	153.9278259	154.0330811
(C12H10)H+	155.0855408	155.0325775	155.138504
(C9H14O2)H+	155.1066589	155.0536804	155.1596375
menthoneH+	155.1424561	155.0894623	155.1954498
mentholH+	157.1586304	157.105011	157.2122498
(C10H22O)H+	159.1743317	159.1200867	159.2285767
(C12H16)H+	161.1324768	161.0776215	161.1873322
(C11H15N)H+	162.1277313	162.0725708	162.1828918
(C9H9NO2)+	163.0627899	163.0073395	163.1182404
(C10H10O2)H+	163.0753632	163.0199127	163.1308136
(C10H13NO)+	163.0991669	163.0437012	163.1546326
(C10H14N2)H+	163.1229706	163.0675049	163.1784363
(C11H17N)+	163.1355591	163.0800781	163.19104
(C12H18)H+	163.1481323	163.0926514	163.2036133
