CAS,ChEBI
"99-49-0","CHEBI:38265
CHEBI:34758
CHEBI:15400"
"2244-16-8","CHEBI:38265
CHEBI:15399"
"87-44-5","CHEBI:10357
CHEBI:5993"
"6753-98-6","CHEBI:5768"
"77-53-2","CHEBI:10217"
"108-90-7","CHEBI:28097"
"108-42-9","No result"
"109-69-3","No result"
"78-86-4","No result"
"542-18-7","CHEBI:28097"
"28519-06-4","No result"
"75-45-6","CHEBI:82417"
"112-52-7","No result"
"3380-34-5","CHEBI:164200"
"75-00-3","No result"
"10503-96-5","No result"
"31-31-3","No result"
"67-66-3","CHEBI:35255"
"629-06-1","No result"
"01/03/4860",""
"25495-90-3","No result"
"544-10-5","No result"
"638-28-8","No result"
"74-87-3","CHEBI:36014"
"824-47-5","No result"
"4398-65-6","No result"
"ui","No result"
"513-36-0","No result"
"2473-01-0","No result"
"07/03/4862",""
"29656-63-1","No result"
"543-59-9","No result"
"1458-99-7","No result"
"2425-54-9","No result"
"75-72-9","No result"
"747-90-0","No result"
"57-88-5","CHEBI:16113"
"470-67-7","CHEBI:80788"
"470-82-6","CHEBI:27961"
"469-92-1","No result"
"3856-25-5","No result"
"17699-14-8","CHEBI:10224"
"13744-15-5","CHEBI:10363"
"98-82-8","CHEBI:34656"
"536-60-7","No result"
"4176-17-4","CHEBI:62757
CHEBI:10225"
"18936-17-9","CHEBI:61669"
"4403-61-6","No result"
"100-45-8","No result"
"78-82-0","No result"
"109-74-0","CHEBI:51937"
"126-98-7","No result"
"4786-20-3","No result"
"287-23-0","No result"
"2516-34-9","No result"
"4054-38-0","No result"
"291-64-5","No result"
"544-25-2","CHEBI:37519"
"628-92-2","No result"
"295-65-8","No result"
"592-57-4","No result"
"628-41-1","No result"
"2161-90-2","No result"
"110-82-7","CHEBI:29005"
"98-89-5","CHEBI:30746
CHEBI:36096"
"3289-28-9","No result"
"4630-82-4","No result"
"108-93-0","CHEBI:18099"
"108-94-1","CHEBI:17854"
"110-83-8","CHEBI:36404"
"930-68-7","CHEBI:15977"
"766-93-8","CHEBI:13248
CHEBI:42416
CHEBI:17945"
"4292-92-6","No result"
"292-64-8","No result"
"629-20-9","CHEBI:47034"
"542-92-7","CHEBI:30664"
"287-92-3","CHEBI:23492"
"120-92-3","CHEBI:16486"
"24828-61-3",""
"142-29-0","CHEBI:49155"
"930-30-3","CHEBI:26334
CHEBI:26335
CHEBI:26346"
"75-19-4","No result"
"873-49-4","No result"
"765-43-5","No result"
"295-17-0","No result"
"26444-18-8","No result"
"527-84-4","No result"
"99-87-6","CHEBI:28768"
"1197-01-9","No result"
"1074-55-1","No result"
"23726-93-4","CHEBI:67251"
"2363-88-4","No result"
"705-86-2","No result"
"706-14-9","No result"
"112-31-2","CHEBI:31457"
"ui","No result"
"ui","No result"
"124-18-5","No result"
"334-48-5","CHEBI:30813
CHEBI:27689"
"110-42-9","No result"
"110-38-3","No result"
"112-30-1","CHEBI:28903"
"1120-06-5","No result"
"693-54-9","CHEBI:77929"
"2497-25-8","No result"
"3913-81-3","CHEBI:61727"
"25339-53-1","CHEBI:81936"
"20348-51-0",""
"19398-86-8","No result"
"19689-18-0","No result"
"19689-19-1","No result"
"ui","No result"
"14436-32-9","CHEBI:32381"
"ui","No result"
"27381-15-3","No result"
"156747-45-4","No result"
"2179-57-9","CHEBI:4488"
"3385-21-5","No result"
"222-51-5","No result"
"124-48-1","CHEBI:34627"
"79755-43-4","No result"
"594-18-3","No result"
"74-95-3","No result"
"615-58-7","CHEBI:34238"
"1563-90-2","CHEBI:29127"
"142-96-1","No result"
"761-65-9","No result"
"25321-22-6","CHEBI:35290
CHEBI:36693"
"95-50-1","CHEBI:35290"
"541-73-1","CHEBI:36693"
"106-46-7","CHEBI:28618"
"608-27-5","No result"
"26688-50-6","No result"
"26688-51-7","No result"
"29480-42-0","No result"
"75-71-8",""
"75-34-3","CHEBI:81599"
"107-06-2","CHEBI:27789"
"25323-30-2","CHEBI:34031"
"75-35-4","CHEBI:34031"
"156-60-5","CHEBI:18882
CHEBI:29027"
"156-59-2","CHEBI:18882
CHEBI:29027
CHEBI:28805"
"78-87-5","CHEBI:82163"
"26952-23-8","No result"
"4553-62-2","No result"
"109-77-3","No result"
"55282-35-4","No result"
"105-57-7","No result"
"685-91-6","No result"
"25340-17-4","CHEBI:34062"
"105-05-5","CHEBI:34062"
"135-01-3","CHEBI:73244"
"141-93-5","No result"
"123-91-1","No result"
"60-29-7","CHEBI:35702"
"617-84-5","No result"
"616-40-0","No result"
"134-62-3","CHEBI:7071"
"634-95-7","No result"
"496-16-2","CHEBI:35260"
"619-01-2","CHEBI:50215"
"5524-05-0","CHEBI:23733
CHEBI:154
CHEBI:166"
"09/04/5948",""
"28564-83-2","No result"
"1191-99-7","CHEBI:51662"
"96-48-0","No result"
"59-48-3","CHEBI:31697
CHEBI:51630"
"34314-83-5","CHEBI:51678"
"108-29-2","CHEBI:36751
CHEBI:48569
CHEBI:48570"
